time,concentration,particles03,particles05,particles10,particles25,particles50,particles100,['Time'],['Temperature'],['Gas'],['Relative Humidity'],['Pressure'],['Altitude']
221,0,171,36,8,0,0,0,15:06:35,18.716328125,188563,50.60534305322829,1008.3373130396305,40.98199854537509
222,0,171,36,8,0,0,0,15:06:36,18.7133984375,190969,50.66727481259772,1008.3392449499796,40.96585066092349
223,0,159,31,7,0,0,0,15:06:37,18.710859375,188779,50.69188580483238,1008.3384124537547,40.97280908263333
224,0,159,31,7,0,0,0,15:06:38,18.708125,189213,50.760103997327775,1008.3440895743869,40.92535694840883
225,0,159,31,7,0,0,0,15:06:39,18.70734375,188348,50.8597688053328,1008.3393633050872,40.96486138985082
226,0,165,34,7,0,0,0,15:06:40,18.701484375,188996,50.99006744159834,1008.3415176256602,40.94685451944095
227,0,165,34,7,0,0,0,15:06:41,18.6923046875,189213,51.11380369351157,1008.3364037400788,40.98959893989877
228,0,165,34,7,0,0,0,15:06:42,18.686640625,188779,51.225557841082015,1008.3423028421897,40.94029130142161
229,0,165,36,7,0,0,0,15:06:43,18.681953125,188348,51.381278272096665,1008.344709442365,40.92017580359472
230,0,165,36,7,0,0,0,15:06:44,18.6782421875,189649,51.53725270104594,1008.3453327653548,40.91496578278259
231,0,165,36,7,0,0,0,15:06:45,18.675703125,189758,51.64338954210284,1008.356463395029,40.82193128942002
232,0,141,31,4,0,0,0,15:06:47,18.6721875,191413,51.67427367709067,1008.3574135490254,40.813989540437
233,0,141,31,4,0,0,0,15:06:48,18.669453125,192532,51.642612697966705,1008.3579626176311,40.8094002186682
234,0,141,31,4,0,0,0,15:06:49,18.6680859375,192870,51.567294768066105,1008.3590916636874,40.79996323375114
235,0,156,38,8,0,0,0,15:06:50,18.6675,193892,51.47958889952113,1008.3717830419299,40.69388458460078
236,0,156,38,8,0,0,0,15:06:51,18.6659375,193209,51.416826273108775,1008.376003124179,40.65861201008181
237,0,156,38,8,0,0,0,15:06:52,18.660859375,194809,51.35365062847546,1008.3863001110778,40.5725475451316
238,1,165,41,11,1,0,0,15:06:53,18.6548046875,194235,51.33414184841766,1008.384707586857,40.585858163796495
239,1,165,41,11,1,0,0,15:06:54,18.6536328125,195503,51.29648370946129,1008.3878725012937,40.559405226990116
240,1,165,41,11,1,0,0,15:06:55,18.6508984375,195852,51.233641355095585,1008.3850031845084,40.58338750143106
